Step,correct,total,accuracy
1,721,800,0.90125
2,734,800,0.9175
3,720,800,0.9
4,739,800,0.92375
5,739,800,0.92375
6,742,800,0.9275
7,738,800,0.9225
8,734,800,0.9175
9,739,800,0.92375
10,730,800,0.9125
11,744,800,0.93
12,755,800,0.94375
13,756,800,0.945
14,751,800,0.93875
15,752,800,0.94
16,754,800,0.9425
17,757,800,0.94625
18,763,800,0.95375
19,765,800,0.95625
20,751,800,0.93875
21,745,800,0.93125
22,758,800,0.9475
23,770,800,0.9625
24,774,800,0.9675
25,764,800,0.955
26,768,800,0.96
27,769,800,0.96125
28,767,800,0.95875
29,769,800,0.96125
30,786,800,0.9825
31,783,800,0.97875
32,780,800,0.975
33,784,800,0.98
34,789,800,0.98625
35,784,800,0.98
36,789,800,0.98625
37,784,800,0.98
38,791,800,0.98875
39,794,800,0.9925
40,798,800,0.9975
41,797,800,0.99625
42,799,800,0.99875
43,798,800,0.9975
44,800,800,1.0
45,799,800,0.99875
46,800,800,1.0
47,798,800,0.9975
48,800,800,1.0
